method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
Epsilon-Break,alternating_groups,0.004668281027969085,0.0,0.0,0.4,0.6,21.476150786029915
Epsilon-Full,alternating_groups,0.0034433182045438466,0.7758196721311476,0.6,0.4,0.6,21.476150786029915
AVG,alternating_groups,0.18611531412974908,0.0,0.0,0.5,0.5,18.008589515445202
Worst,alternating_groups,0.34543363378589875,0.0,0.0,0.5,0.5,18.008589515445202
Fair-Break,alternating_groups,0.001965331512531838,0.0,0.0,0.5,0.5,18.008589515445202
Fair-Full,alternating_groups,0.0009560295974880261,0.9827450980392157,0.56,0.5,0.5,18.008589515445202
VanillaMC,alternating_groups,0.022494068584970252,0.0,0.0,0.5,0.5,18.008589515445202
FairMC,alternating_groups,0.2660914735839477,0.7843137254901961,0.4,0.5,0.5,18.008589515445202
EPIRA-Break,alternating_groups,0.08888892703266639,0.0,0.0,0.5,0.5,18.008589515445202
EPIRA-Full,alternating_groups,0.02516605530442756,0.0,0.0,0.5,0.5,18.008589515445202
Epsilon-Break,alternating_groups,0.021257282739464246,0.0,0.0,0.5,0.5,18.008589515445202
Epsilon-Full,alternating_groups,0.0049520249880478425,0.7717647058823529,0.5700000000000001,0.5,0.5,18.008589515445202
AVG,alternating_groups,0.054345112656387654,0.0,0.0,0.6,0.4,14.539151764551935
Worst,alternating_groups,0.34543363378589875,0.0,0.0,0.6,0.4,14.539151764551935
Fair-Break,alternating_groups,0.0008216796057638265,0.0,0.0,0.6,0.4,14.539151764551935
Fair-Full,alternating_groups,0.0024328362455518135,0.9528455284552846,0.43000000000000005,0.6,0.4,14.539151764551935
VanillaMC,alternating_groups,0.07340967054366185,0.0,0.0,0.6,0.4,14.539151764551935
FairMC,alternating_groups,0.3453469338022131,0.14634146341463417,0.06000000000000005,0.6,0.4,14.539151764551935
EPIRA-Break,alternating_groups,0.044859115478872266,0.0,0.0,0.6,0.4,14.539151764551935
EPIRA-Full,alternating_groups,0.03800386222603752,0.0,0.0,0.6,0.4,14.539151764551935
Epsilon-Break,alternating_groups,0.03578080452496148,0.0,0.0,0.6,0.4,14.539151764551935
Epsilon-Full,alternating_groups,0.012330343946128032,0.7626016260162602,0.4700000000000001,0.6,0.4,14.539151764551935
AVG,alternating_groups,0.14346632227448222,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
