method,dataset,TIE_BLOCKS,TIE_TYPE,GFR,NDKL_Value,ULOSS_Value,WULOSS_Value
Fair-Break,skewed_groups,4,Top,8.577676891325043,0.4565234657658598,0.0,0.0
Fair-Break,skewed_groups,5,Bottom,1.6635494577115235,0.4565234657658598,0.0,0.0
Fair-Break,skewed_groups,5,Interleaved,2.081941005060066,0.44794531165492496,0.0,0.0
Fair-Break,skewed_groups,5,Top,1.6635494577115235,0.4565234657658598,0.0,0.0
Fair-Full,alternating_groups,1,Bottom,27.72582429519206,0.006942020082553469,0.980246913580247,0.8699999999999999
Fair-Full,alternating_groups,1,Interleaved,28.068118422293196,0.0034092634545475316,0.9956790123456789,0.93
Fair-Full,alternating_groups,1,Top,28.41041254939433,0.002145747417878047,0.9462962962962964,0.776
Fair-Full,alternating_groups,2,Bottom,20.458975185565112,0.007732357134679668,0.9846774193548387,0.8100000000000002
Fair-Full,alternating_groups,2,Interleaved,21.129761257222984,0.006738243935426827,0.9838709677419356,0.8
Fair-Full,alternating_groups,2,Top,21.800547328880853,0.0006313492869101688,0.9282258064516128,0.6799999999999999
Fair-Full,alternating_groups,3,Bottom,13.218125536079937,0.006759792862891673,0.9697674418604653,0.74
Fair-Full,alternating_groups,3,Interleaved,14.185305453354077,0.003172542823140126,0.9674418604651163,0.72
Fair-Full,alternating_groups,3,Top,15.152485370628217,0.0007532416260847566,0.9593023255813954,0.6499999999999999
Fair-Full,alternating_groups,4,Bottom,6.0650240645732625,0.006112119951699252,0.8791666666666667,0.61
Fair-Full,alternating_groups,4,Interleaved,7.220266743539598,0.0011804700062394715,0.8895833333333334,0.66
Fair-Full,alternating_groups,4,Top,8.375509422505933,0.00033703904783997474,0.9041666666666666,0.5399999999999999
Fair-Full,alternating_groups,5,Bottom,0.0,0.0,0.44000000000000006,0.43999999999999995
Fair-Full,alternating_groups,5,Interleaved,0.6933765542848239,0.0005216112565584796,0.5684210526315789,0.49000000000000005
Fair-Full,alternating_groups,5,Top,0.0,0.0,0.44000000000000006,0.43999999999999995
Fair-Full,skewed_groups,1,Bottom,28.41896990257186,0.0,0.9814814814814815,0.9280000000000002
Fair-Full,skewed_groups,1,Interleaved,28.068118422293196,0.008436852467590529,0.987037037037037,0.9800000000000001
Fair-Full,skewed_groups,1,Top,28.41896990257186,0.0,0.9901234567901234,0.916
Fair-Full,skewed_groups,2,Bottom,21.834086632463748,0.0,0.971774193548387,0.8779999999999999
Fair-Full,skewed_groups,2,Interleaved,21.834086632463748,0.0,0.9733870967741935,0.898
Fair-Full,skewed_groups,2,Top,21.834086632463748,0.0,0.9870967741935484,0.8779999999999999
Fair-Full,skewed_groups,3,Bottom,14.588297085551636,0.008436852467590529,0.9674418604651163,0.9099999999999999
Fair-Full,skewed_groups,3,Interleaved,14.894570726021781,0.008436852467590529,0.9651162790697676,0.89
Fair-Full,skewed_groups,3,Top,15.200844366491925,0.008436852467590529,0.9895348837209303,0.9099999999999999
Fair-Full,skewed_groups,4,Bottom,8.028936618816033,0.008436852467590529,0.9375,0.89
Fair-Full,skewed_groups,4,Interleaved,8.664320092247518,0.0,0.95625,0.79
Fair-Full,skewed_groups,4,Top,8.577676891325043,0.008436852467590529,0.9770833333333332,0.89
Fair-Full,skewed_groups,5,Bottom,1.6635494577115235,0.008436852467590529,0.8400000000000001,0.8400000000000001
Fair-Full,skewed_groups,5,Interleaved,2.081941005060066,0.013223368758367462,0.8394736842105261,0.8100000000000002
Fair-Full,skewed_groups,5,Top,1.6635494577115235,0.008436852467590529,0.8400000000000001,0.8400000000000001
FairMC,alternating_groups,1,Bottom,27.72582429519206,0.17138732474946305,0.7320987654320987,0.6499999999999999
FairMC,alternating_groups,1,Interleaved,28.068118422293196,0.17160409750487898,0.654320987654321,0.53
FairMC,alternating_groups,1,Top,28.41041254939433,0.17303444908784585,0.3580246913580247,0.29000000000000004
FairMC,alternating_groups,2,Bottom,20.458975185565112,0.17273920188044806,0.6129032258064516,0.57
FairMC,alternating_groups,2,Interleaved,21.129761257222984,0.17445955732507454,0.6475806451612903,0.4299999999999999
FairMC,alternating_groups,2,Top,21.800547328880853,0.17415830823144385,0.19354838709677424,0.11999999999999988
FairMC,alternating_groups,3,Bottom,13.218125536079937,0.17436740791928537,0.2325581395348837,0.2899999999999999
