method,dataset,NDKL_Value,ULOSS_Value,TIE_BLOCKS,TIE_TYPE,WULOSS_Value,GFR
Epsilon-Full,skewed_groups,0.16026595221408227,0.725,2,Bottom,0.6299999999999999,21.834086632463748
AVG,skewed_groups,0.4571981126595195,0.0,3,Bottom,-2.220446049250313e-16,14.588297085551636
Worst,skewed_groups,0.4826029492624594,0.0,3,Bottom,-2.220446049250313e-16,14.588297085551636
Fair-Break,skewed_groups,0.45652346576585984,0.0,3,Bottom,-2.220446049250313e-16,14.588297085551636
Fair-Full,skewed_groups,0.008436852467590529,0.9674418604651163,3,Bottom,0.91,14.588297085551636
VanillaMC,skewed_groups,0.4569253191345607,0.0,3,Bottom,-2.220446049250313e-16,14.588297085551636
FairMC,skewed_groups,0.18103266123260228,0.9767441860465116,3,Bottom,0.8,14.588297085551636
EPIRA-Break,skewed_groups,0.4552419003214175,0.0,3,Bottom,-2.220446049250313e-16,14.588297085551636
EPIRA-Full,skewed_groups,0.22322637949904475,0.9348837209302325,3,Bottom,0.43999999999999995,14.588297085551636
Epsilon-Break,skewed_groups,0.4539318016752762,0.0,3,Bottom,-2.220446049250313e-16,14.588297085551636
Epsilon-Full,skewed_groups,0.1626719473837206,0.6837209302325582,3,Bottom,0.56,14.588297085551636
AVG,skewed_groups,0.4571981126595195,0.0,4,Bottom,0.0,8.028936618816033
Worst,skewed_groups,0.4826029492624594,0.0,4,Bottom,0.0,8.028936618816033
Fair-Break,skewed_groups,0.45652346576585984,0.0,4,Bottom,0.0,8.028936618816033
Fair-Full,skewed_groups,0.008436852467590529,0.9375,4,Bottom,0.89,8.028936618816033
VanillaMC,skewed_groups,0.45039718981347165,0.0,4,Bottom,0.0,8.028936618816033
FairMC,skewed_groups,0.17666625941461694,0.9583333333333334,4,Bottom,0.8,8.028936618816033
EPIRA-Break,skewed_groups,0.4552419003214175,0.0,4,Bottom,0.0,8.028936618816033
EPIRA-Full,skewed_groups,0.22322637949904475,0.85,4,Bottom,0.2799999999999999,8.028936618816033
Epsilon-Break,skewed_groups,0.4539318016752762,0.0,4,Bottom,0.0,8.028936618816033
Epsilon-Full,skewed_groups,0.1626719473837206,0.7041666666666666,4,Bottom,0.53,8.028936618816033
AVG,skewed_groups,0.4571981126595195,0.0,5,Bottom,0.0,1.6635494577115235
Worst,skewed_groups,0.4826029492624594,0.0,5,Bottom,0.0,1.6635494577115235
Fair-Break,skewed_groups,0.45652346576585984,0.0,5,Bottom,0.0,1.6635494577115235
Fair-Full,skewed_groups,0.008436852467590529,0.84,5,Bottom,0.84,1.6635494577115235
VanillaMC,skewed_groups,0.4709932158204606,0.0,5,Bottom,0.0,1.6635494577115235
FairMC,skewed_groups,0.17666625941461694,0.7,5,Bottom,0.7,1.6635494577115235
EPIRA-Break,skewed_groups,0.4552419003214175,0.0,5,Bottom,0.0,1.6635494577115235
EPIRA-Full,skewed_groups,0.22322637949904475,0.1200000000000001,5,Bottom,0.11999999999999988,1.6635494577115235
Epsilon-Break,skewed_groups,0.4539318016752762,0.0,5,Bottom,0.0,1.6635494577115235
Epsilon-Full,skewed_groups,0.1626719473837206,0.45999999999999996,5,Bottom,0.45999999999999996,1.6635494577115235
AVG,alternating_groups,0.17337483424306244,0.0,1,Interleaved,0.0,28.068118422293196
Worst,alternating_groups,0.1743650961307553,0.0,1,Interleaved,0.0,28.068118422293196
Fair-Break,alternating_groups,0.17322144422398728,0.0,1,Interleaved,0.0,28.068118422293196
Fair-Full,alternating_groups,0.0034092634545475316,0.995679012345679,1,Interleaved,0.93,28.068118422293196
VanillaMC,alternating_groups,0.17416005750672617,0.0,1,Interleaved,0.0,28.068118422293196
FairMC,alternating_groups,0.17160409750487898,0.654320987654321,1,Interleaved,0.53,28.068118422293196
EPIRA-Break,alternating_groups,0.17335511443437024,0.0,1,Interleaved,0.0,28.068118422293196
EPIRA-Full,alternating_groups,0.05331726419127638,0.13580246913580252,1,Interleaved,0.10999999999999999,28.068118422293196
Epsilon-Break,alternating_groups,0.17333166073134465,0.0,1,Interleaved,0.0,28.068118422293196
Epsilon-Full,alternating_groups,0.009879341308315416,0.7339506172839506,1,Interleaved,0.6799999999999999,28.068118422293196
AVG,alternating_groups,0.17024120999767697,0.0,2,Interleaved,0.0,21.129761257222984
Worst,alternating_groups,0.1743650961307553,0.0,2,Interleaved,0.0,21.129761257222984
Fair-Break,alternating_groups,0.16996367913243893,0.0,2,Interleaved,0.0,21.129761257222984
Fair-Full,alternating_groups,0.006738243935426827,0.9838709677419355,2,Interleaved,0.8,21.129761257222984
VanillaMC,alternating_groups,0.17080475792296493,0.0,2,Interleaved,0.0,21.129761257222984
FairMC,alternating_groups,0.17445955732507454,0.6475806451612903,2,Interleaved,0.42999999999999994,21.129761257222984
EPIRA-Break,alternating_groups,0.17023314064869868,0.0,2,Interleaved,0.0,21.129761257222984
EPIRA-Full,alternating_groups,0.05331726419127638,0.17741935483870963,2,Interleaved,0.10999999999999999,21.129761257222984
Epsilon-Break,alternating_groups,0.17032230551737415,0.0,2,Interleaved,0.0,21.129761257222984
Epsilon-Full,alternating_groups,0.013140139266289373,0.775,2,Interleaved,0.6799999999999999,21.129761257222984
AVG,alternating_groups,0.22103773625939904,0.0,3,Interleaved,0.0,14.185305453354077
Worst,alternating_groups,0.2690531433479058,0.0,3,Interleaved,0.0,14.185305453354077
Fair-Break,alternating_groups,0.19962590641004663,0.0,3,Interleaved,0.0,14.185305453354077
Fair-Full,alternating_groups,0.003172542823140126,0.9674418604651163,3,Interleaved,0.72,14.185305453354077
VanillaMC,alternating_groups,0.19909719857146174,0.0,3,Interleaved,0.0,14.185305453354077
FairMC,alternating_groups,0.08370757586904996,0.6837209302325582,3,Interleaved,0.5599999999999999,14.185305453354077
EPIRA-Break,alternating_groups,0.21314822638249253,0.0,3,Interleaved,0.0,14.185305453354077
EPIRA-Full,alternating_groups,0.12899900731756206,0.23488372093023258,3,Interleaved,0.11999999999999988,14.185305453354077
Epsilon-Break,alternating_groups,0.20392600412811812,0.0,3,Interleaved,0.0,14.185305453354077
Epsilon-Full,alternating_groups,0.0046046320766584,0.7988372093023256,3,Interleaved,0.6,14.185305453354077
AVG,alternating_groups,0.12017877904942299,0.0,4,Interleaved,0.0,7.220266743539598
Worst,alternating_groups,0.2282738654455828,0.0,4,Interleaved,0.0,7.220266743539598
Fair-Break,alternating_groups,0.11650544373752297,0.0,4,Interleaved,0.0,7.220266743539598
Fair-Full,alternating_groups,0.0011804700062394715,0.8895833333333334,4,Interleaved,0.66,7.220266743539598
VanillaMC,alternating_groups,0.11185427540730587,0.0,4,Interleaved,0.0,7.220266743539598
FairMC,alternating_groups,0.17073712846808484,0.8708333333333333,4,Interleaved,0.3799999999999999,7.220266743539598
EPIRA-Break,alternating_groups,0.11956468322331476,0.0,4,Interleaved,0.0,7.220266743539598
EPIRA-Full,alternating_groups,0.04811044296175999,0.16875000000000007,4,Interleaved,0.050000000000000044,7.220266743539598
Epsilon-Break,alternating_groups,0.128151455815328,0.0,4,Interleaved,0.0,7.220266743539598
Epsilon-Full,alternating_groups,0.009179161757898615,0.675,4,Interleaved,0.58,7.220266743539598
AVG,alternating_groups,0.0038323484190609385,0.0,5,Interleaved,0.0,0.6933765542848239
Worst,alternating_groups,0.17671341402342164,0.0,5,Interleaved,0.0,0.6933765542848239
Fair-Break,alternating_groups,0.0,0.0,5,Interleaved,0.0,0.6933765542848239
Fair-Full,alternating_groups,0.0005216112565584796,0.5684210526315789,5,Interleaved,0.49,0.6933765542848239
VanillaMC,alternating_groups,0.007990091343315643,0.0,5,Interleaved,0.0,0.6933765542848239
FairMC,alternating_groups,0.15795932309485858,0.0,5,Interleaved,0.0,0.6933765542848239
EPIRA-Break,alternating_groups,0.0037818762477931896,0.0,5,Interleaved,0.0,0.6933765542848239
EPIRA-Full,alternating_groups,0.045379121600185375,0.0,5,Interleaved,0.0,0.6933765542848239
Epsilon-Break,alternating_groups,0.010109077523824844,0.0,5,Interleaved,0.0,0.6933765542848239
Epsilon-Full,alternating_groups,0.019320454860731126,0.5614035087719298,5,Interleaved,0.48,0.6933765542848239
AVG,alternating_groups,0.07268612703853437,0.0,1,Top,0.0,28.41041254939433
Worst,alternating_groups,0.1743650961307553,0.0,1,Top,0.0,28.41041254939433
Fair-Break,alternating_groups,0.005841378485701092,0.0,1,Top,0.0,28.41041254939433
Fair-Full,alternating_groups,0.002145747417878047,0.9388888888888889,1,Top,0.77,28.41041254939433
VanillaMC,alternating_groups,0.01643042614645813,0.0,1,Top,0.0,28.41041254939433
FairMC,alternating_groups,0.17303444908784585,0.3580246913580247,1,Top,0.29000000000000004,28.41041254939433
EPIRA-Break,alternating_groups,0.01894446380190662,0.0,1,Top,0.0,28.41041254939433
EPIRA-Full,alternating_groups,0.048058758625864215,0.0,1,Top,0.0,28.41041254939433
Epsilon-Break,alternating_groups,0.017080424750636345,0.0,1,Top,0.0,28.41041254939433
Epsilon-Full,alternating_groups,0.012355932198473195,0.745679012345679,1,Top,0.6799999999999999,28.41041254939433
AVG,alternating_groups,0.010573739982388806,0.0,2,Top,0.0,21.800547328880853
Worst,alternating_groups,0.1743650961307553,0.0,2,Top,0.0,21.800547328880853
Fair-Break,alternating_groups,0.001965331512531838,0.0,2,Top,0.0,21.800547328880853
Fair-Full,alternating_groups,0.0006313492869101688,0.9282258064516129,2,Top,0.6799999999999999,21.800547328880853
VanillaMC,alternating_groups,0.13192721120723708,0.0,2,Top,0.0,21.800547328880853
FairMC,alternating_groups,0.17415830823144385,0.19354838709677424,2,Top,0.11999999999999988,21.800547328880853
EPIRA-Break,alternating_groups,0.010573739982388806,0.0,2,Top,0.0,21.800547328880853
EPIRA-Full,alternating_groups,0.028254649276703205,0.0,2,Top,0.0,21.800547328880853
Epsilon-Break,alternating_groups,0.0729356333128318,0.0,2,Top,0.0,21.800547328880853
Epsilon-Full,alternating_groups,0.10502037188612372,0.7725806451612903,2,Top,0.65,21.800547328880853
AVG,alternating_groups,0.06350467174195427,0.0,3,Top,0.0,15.152485370628217
Worst,alternating_groups,0.1743650961307553,0.0,3,Top,0.0,15.152485370628217
Fair-Break,alternating_groups,0.0008216796057638265,0.0,3,Top,0.0,15.152485370628217
Fair-Full,alternating_groups,0.0007532416260847566,0.9593023255813954,3,Top,0.6499999999999999,15.152485370628217
VanillaMC,alternating_groups,0.03935047058150226,0.0,3,Top,0.0,15.152485370628217
FairMC,alternating_groups,0.1742783961470696,0.11627906976744184,3,Top,0.050000000000000044,15.152485370628217
EPIRA-Break,alternating_groups,0.009653796260340528,0.0,3,Top,0.0,15.152485370628217
EPIRA-Full,alternating_groups,0.028254649276703205,0.0,3,Top,0.0,15.152485370628217
Epsilon-Break,alternating_groups,0.003905316123899604,0.0,3,Top,0.0,15.152485370628217
Epsilon-Full,alternating_groups,0.007684353217044227,0.7523255813953489,3,Top,0.58,15.152485370628217
AVG,alternating_groups,0.06300652386742345,0.0,4,Top,0.0,8.375509422505933
Worst,alternating_groups,0.1743650961307553,0.0,4,Top,0.0,8.375509422505933
Fair-Break,alternating_groups,0.0002963095806166986,0.0,4,Top,0.0,8.375509422505933
Fair-Full,alternating_groups,0.00033703904783997474,0.9041666666666667,4,Top,0.5399999999999999,8.375509422505933
VanillaMC,alternating_groups,0.07823341231257074,0.0,4,Top,0.0,8.375509422505933
FairMC,alternating_groups,0.1743650961307553,0.0,4,Top,0.0,8.375509422505933
EPIRA-Break,alternating_groups,0.009125045845771241,0.0,4,Top,0.0,8.375509422505933
EPIRA-Full,alternating_groups,0.028254649276703205,0.0,4,Top,0.0,8.375509422505933
Epsilon-Break,alternating_groups,0.003359473540164528,0.0,4,Top,0.0,8.375509422505933
Epsilon-Full,alternating_groups,0.008130502339214932,0.7458333333333333,4,Top,0.5399999999999999,8.375509422505933
AVG,alternating_groups,0.0627666353591314,0.0,5,Top,0.0,0.0
Worst,alternating_groups,0.1743650961307553,0.0,5,Top,0.0,0.0
Fair-Break,alternating_groups,0.0,0.0,5,Top,0.0,0.0
Fair-Full,alternating_groups,0.0,0.44000000000000006,5,Top,0.43999999999999995,0.0
VanillaMC,alternating_groups,0.012072053395068267,0.0,5,Top,0.0,0.0
FairMC,alternating_groups,0.04795729109798355,0.0,5,Top,0.0,0.0
EPIRA-Break,alternating_groups,0.008911482708131123,0.0,5,Top,0.0,0.0
EPIRA-Full,alternating_groups,0.028172635751382062,0.0,5,Top,0.0,0.0
Epsilon-Break,alternating_groups,0.0031510025180472435,0.0,5,Top,0.0,0.0
Epsilon-Full,alternating_groups,0.001978319818214866,0.45999999999999996,5,Top,0.45999999999999996,0.0
AVG,alternating_groups,0.17407869374231186,0.0,1,Bottom,0.0,27.72582429519206
Worst,alternating_groups,0.1743650961307553,0.0,1,Bottom,0.0,27.72582429519206
Fair-Break,alternating_groups,0.17406878655013855,0.0,1,Bottom,0.0,27.72582429519206
Fair-Full,alternating_groups,0.006942020082553469,0.980246913580247,1,Bottom,0.87,27.72582429519206
VanillaMC,alternating_groups,0.1742187064110357,0.0,1,Bottom,0.0,27.72582429519206
FairMC,alternating_groups,0.17138732474946305,0.7320987654320987,1,Bottom,0.6499999999999999,27.72582429519206
EPIRA-Break,alternating_groups,0.17407869374231186,0.0,1,Bottom,0.0,27.72582429519206
EPIRA-Full,alternating_groups,0.05323525066595524,0.13580246913580252,1,Bottom,0.10999999999999999,27.72582429519206
Epsilon-Break,alternating_groups,0.17409390331578617,0.0,1,Bottom,0.0,27.72582429519206
Epsilon-Full,alternating_groups,0.012756097111997237,0.7333333333333334,1,Bottom,0.67,27.72582429519206
AVG,alternating_groups,0.17361392920242572,0.0,2,Bottom,-2.220446049250313e-16,20.458975185565112
Worst,alternating_groups,0.1743650961307553,0.0,2,Bottom,-2.220446049250313e-16,20.458975185565112
Fair-Break,alternating_groups,0.17354341652499145,0.0,2,Bottom,-2.220446049250313e-16,20.458975185565112
Fair-Full,alternating_groups,0.007732357134679668,0.9846774193548387,2,Bottom,0.81,20.458975185565112
VanillaMC,alternating_groups,0.17359344569560617,0.0,2,Bottom,-2.220446049250313e-16,20.458975185565112
FairMC,alternating_groups,0.17273920188044806,0.6129032258064516,2,Bottom,0.57,20.458975185565112
EPIRA-Break,alternating_groups,0.17360585985344743,0.0,2,Bottom,-2.220446049250313e-16,20.458975185565112
EPIRA-Full,alternating_groups,0.05323525066595524,0.17741935483870963,2,Bottom,0.10999999999999988,20.458975185565112
Epsilon-Break,alternating_groups,0.17359172658059005,0.0,2,Bottom,-2.220446049250313e-16,20.458975185565112
Epsilon-Full,alternating_groups,0.020062351043093524,0.725,2,Bottom,0.6299999999999999,20.458975185565112
AVG,alternating_groups,0.17263679786023955,0.0,3,Bottom,-2.220446049250313e-16,13.218125536079937
Worst,alternating_groups,0.1743650961307553,0.0,3,Bottom,-2.220446049250313e-16,13.218125536079937
Fair-Break,alternating_groups,0.17239976461822343,0.0,3,Bottom,-2.220446049250313e-16,13.218125536079937
Fair-Full,alternating_groups,0.006759792862891673,0.9697674418604652,3,Bottom,0.74,13.218125536079937
VanillaMC,alternating_groups,0.17252587730789726,0.0,3,Bottom,-2.220446049250313e-16,13.218125536079937
FairMC,alternating_groups,0.17436740791928537,0.2325581395348837,3,Bottom,0.2899999999999999,13.218125536079937
EPIRA-Break,alternating_groups,0.17261280088216086,0.0,3,Bottom,-2.220446049250313e-16,13.218125536079937
EPIRA-Full,alternating_groups,0.05323525066595524,0.2558139534883721,3,Bottom,0.10999999999999988,13.218125536079937
Epsilon-Break,alternating_groups,0.1725773471254923,0.0,3,Bottom,-2.220446049250313e-16,13.218125536079937
Epsilon-Full,alternating_groups,0.012720425846641441,0.6837209302325582,3,Bottom,0.56,13.218125536079937
AVG,alternating_groups,0.16901619321507047,0.0,4,Bottom,0.0,6.0650240645732625
Worst,alternating_groups,0.1743650961307553,0.0,4,Bottom,0.0,6.0650240645732625
Fair-Break,alternating_groups,0.16852371764505417,0.0,4,Bottom,0.0,6.0650240645732625
